MONTH,ERA5,BCC,CESM-B,CESM-C,CMCC-CESM,CMCC-CMS,CNRM,EARTH,GFDL-C,GFDL-E,HADGEM,INM,IPSL,MPI,MRI,NOR,VAR,PERIOD
X,9.07,7.5465,10.411,8.8852,4.7202,6.7385,7.919,8.1874,8.4106,7.3632,7.2086,6.8514,8.3176,9.7889,7.6628,9.6706,Ta,1981_2005
XI,3.26,3.1853,5.9468,4.6434,-0.75082,2.2005,2.4884,3.0107,3.7855,4.3699,2.1244,3.8035,4.4319,4.5577,3.1557,5.2493,Ta,1981_2005
XII,-0.31,0.28925,3.6507,1.6105,-2.5879,-2.2043,-0.32563,0.78876,1.1052,1.423,-2.7924,2.0301,1.9907,1.9722,0.61994,2.7102,Ta,1981_2005
I,NA,3.3314,5.0619,4.4754,1.35,2.0023,2.9048,3.1103,5.1911,2.7517,2.8917,3.2598,4.1712,3.5674,4.1087,4.8192,Ta,2076_2100
II,NA,3.7668,6.0681,5.4339,2.4427,3.3573,3.8652,3.1847,6.4629,2.6406,3.9649,3.5507,4.9471,4.4715,5.2004,4.7762,Ta,2076_2100
III,NA,5.7592,8.326,8.275,4.4555,6.1823,5.2027,5.2231,8.4879,4.0167,7.489,5.743,6.7299,7.3538,7.138,8.0123,Ta,2076_2100
IV,NA,9.1386,12.317,12.322,10.073,9.7435,8.9573,9.6269,12.361,9.5519,12.698,9.3009,10.853,11.265,10.07,11.737,Ta,2076_2100
V,NA,15.352,16.573,17.604,14.646,14.96,13.991,14.119,17.086,13.989,19.686,13.514,15.688,15.579,14.815,16.232,Ta,2076_2100
VI,NA,19.521,22.003,22.341,18.268,19.051,20.225,17.482,22.644,18.112,26.742,18.713,22.576,18.883,19.726,21.186,Ta,2076_2100
VII,NA,24.098,24.419,25.086,19.631,21.534,24.394,19.876,26.125,20.281,29.172,22.481,25.714,21.249,21.571,23.219,Ta,2076_2100
VIII,NA,23.577,24.117,23.924,17.757,20.886,23.167,19.646,26.997,19.901,27.657,20.712,24.093,21.829,20.065,22.874,Ta,2076_2100
IX,NA,18.563,19.319,19.083,14.045,17.309,17.297,16.472,21.831,15.531,21.813,14.037,19.882,18.714,16.464,17.748,Ta,2076_2100
X,NA,12.014,13.528,13.166,8.9128,12.793,11.209,11.556,14.972,9.6369,14.122,8.5714,12.287,13.171,10.993,12.79,Ta,2076_2100
XI,NA,7.0251,8.5327,7.9631,5.3305,7.3574,6.5878,6.8612,9.2905,6.7829,6.7249,5.8883,8.0131,8.686,6.993,8.887,Ta,2076_2100
XII,NA,4.5667,6.0349,5.457,2.4833,4.2787,3.4569,3.4685,6.061,4.1896,3.7521,3.941,5.6241,4.8429,4.5997,6.2328,Ta,2076_2100
I,83.523,93.81110527,87.16436431,86.61069847,NA,NA,89.61587917,NA,89.32003729,88.12598755,91.00333333,95.14249384,85.93477908,NA,81.30159,89.3146799,RH,1981_2005
II,80.431,91.4183078,82.03941836,80.45746073,NA,NA,87.27980048,NA,87.04159466,85.43655922,86.03083333,93.46424171,85.36708796,NA,76.69514,85.25276482,RH,1981_2005
III,77.124,88.05144203,75.58775334,71.72805155,NA,NA,82.74858425,NA,84.91364441,84.9412743,79.7027381,88.65122206,76.96033023,NA,73.54048,78.58178285,RH,1981_2005
