"VPD","ET","P","Ta","label","model","PERIOD"
0.666826429952042,492.313415245546,710.473,13.4868518138261,"NOR","CMIP6","2076_2100"
0.858589673350703,511.147318170018,688.355,15.9458348391513,"TAI","CMIP6","2076_2100"
NA,NA,NA,NA,"AWI","EUR-44","2076_2100"
NA,NA,NA,NA,"BCC","EUR-44","2076_2100"
NA,NA,NA,NA,"CESM-B","EUR-44","2076_2100"
NA,NA,NA,NA,"CESM-C","EUR-44","2076_2100"
NA,NA,NA,NA,"CESM2","EUR-44","2076_2100"
NA,NA,NA,NA,"CMCC-CESM","EUR-44","2076_2100"
NA,NA,NA,NA,"CMCC-CMS","EUR-44","2076_2100"
NA,NA,NA,NA,"CMCC_C","EUR-44","2076_2100"
NA,NA,NA,NA,"CMCC_E","EUR-44","2076_2100"
NA,NA,NA,NA,"CNRM","EUR-44","2076_2100"
0.234904783924354,732.994029739844,1187.924,10.1850898015058,"C_RCA","EUR-44","2076_2100"
NA,NA,NA,NA,"EARTH","EUR-44","2076_2100"
NA,NA,NA,NA,"EARTH_C","EUR-44","2076_2100"
NA,NA,NA,NA,"EARTH_V","EUR-44","2076_2100"
0.312188272237779,523.642702816684,978.123,10.5940985626283,"E_HIRHAM","EUR-44","2076_2100"
0.343827816583645,495.665276900854,824.326,10.2965373716632,"E_RACMO","EUR-44","2076_2100"
0.348836496388396,666.051716848627,879.829,11.2364475017112,"E_RCA","EUR-44","2076_2100"
NA,NA,NA,NA,"GFDL-C","EUR-44","2076_2100"
NA,NA,NA,NA,"GFDL-E","EUR-44","2076_2100"
NA,NA,NA,NA,"GFDL_C","EUR-44","2076_2100"
NA,NA,NA,NA,"GFDL_E","EUR-44","2076_2100"
NA,NA,NA,NA,"HADGEM","EUR-44","2076_2100"
0.451215926910705,533.606508376616,876.756,12.6857904859685,"H_RACMO","EUR-44","2076_2100"
0.440242673368071,677.170905800976,869.646,13.4781549623546,"H_RCA","EUR-44","2076_2100"
NA,NA,NA,NA,"INM","EUR-44","2076_2100"
NA,NA,NA,NA,"IPSL","EUR-44","2076_2100"
0.342900413951397,717.90730982623,1044.208,11.8844503080082,"I_RCA","EUR-44","2076_2100"
NA,NA,NA,NA,"MPI","EUR-44","2076_2100"
NA,NA,NA,NA,"MRI","EUR-44","2076_2100"
0.249446443801938,593.997533487856,1010.627,10.5718838466804,"M_CLM","EUR-44","2076_2100"
0.323875101548964,718.935826690296,1020.334,12.0543334017796,"M_RCA","EUR-44","2076_2100"
NA,NA,NA,NA,"NOR","EUR-44","2076_2100"
NA,NA,NA,NA,"TAI","EUR-44","2076_2100"
